ballotID,rank1,rank2,rank3,Gender,Age,Urbanicity,weight
207763XXXX,2,4,3,1,2,3,1.211686063
207377XXXX,2,4,5,1,2,2,0.479610184
207563XXXX,2,4,1,1,2,3,0.479610184
207824XXXX,2,4,3,1,2,3,0.626666362
207218XXXX,1,4,5,2,2,1,0.314754635
207563XXXX,2,4,5,2,2,3,0.388206469
207532XXXX,2,4,5,2,2,3,0.524591059
207866XXXX,2,4,5,2,2,2,0.388206469
207625XXXX,2,4,5,2,2,3,0.488437918
207524XXXX,2,4,5,2,2,3,0.524591059
207348XXXX,2,4,1,2,2,3,0.362740125
207947XXXX,2,4,5,1,2,1,0.479610184
207967XXXX,1,4,5,1,2,2,0.383476545
207696XXXX,2,4,5,2,2,3,0.388206469
207677XXXX,2,4,3,2,2,1,0.388206469
207360XXXX,1,4,5,2,2,1,0.490177886
207724XXXX,1,4,2,2,2,2,0.388206469
207934XXXX,2,4,3,2,2,1,1.365038349
207324XXXX,2,4,1,2,2,2,0.362740125
207998XXXX,1,4,3,2,2,3,0.562623911
207938XXXX,2,4,5,1,2,2,0.841699321
207463XXXX,2,4,1,2,2,3,0.388206469
207674XXXX,2,4,5,2,2,3,1.365038349
207377XXXX,1,4,5,2,2,3,0.524591059
207942XXXX,2,4,5,2,2,1,1.365038349
207990XXXX,2,4,3,2,2,4,1.247347779
207729XXXX,2,4,5,1,2,2,0.479610184
207499XXXX,1,4,5,2,2,3,0.490177886
207985XXXX,2,4,3,1,2,2,0.479610184
207382XXXX,2,5,,2,2,1,0.819023009
207532XXXX,1,5,,2,1,2,1.184722409
207623XXXX,2,5,,1,2,2,0.479610184
207364XXXX,1,5,,1,2,3,0.448147756
207786XXXX,1,5,,1,2,1,0.479610184
207985XXXX,2,5,,1,2,1,0.479610184
207724XXXX,2,5,,2,1,3,1.267896414
207646XXXX,1,5,,2,2,3,0.490177886
207865XXXX,1,5,,2,2,1,0.490177886
207623XXXX,2,5,,2,2,4,0.524591059
207686XXXX,2,5,,2,2,3,0.819023009
207883XXXX,2,5,,2,2,3,1.365038349
207688XXXX,2,5,,2,2,3,0.562623911
207897XXXX,1,5,,2,2,3,1.365038349
207251XXXX,2,5,,2,2,2,0.416351438
207854XXXX,2,5,,2,2,2,1.365038349
207657XXXX,1,5,,2,2,2,0.524591059
207733XXXX,2,5,,2,2,1,0.388206469
207942XXXX,2,5,,2,2,1,0.819023009
207345XXXX,1,5,,2,2,3,0.362740125
207945XXXX,2,5,,2,2,2,0.524591059
207637XXXX,1,5,,2,2,3,0.524591059
207324XXXX,2,5,,2,2,3,1.464003629
207562XXXX,2,5,,2,2,3,0.524591059
207454XXXX,1,5,,2,2,3,0.490177886
207892XXXX,1,5,,2,2,3,0.232923882
207884XXXX,2,5,,2,2,2,0.89284467
207354XXXX,1,5,,2,2,3,0.416351438
207727XXXX,1,5,,2,2,3,0.83427406
207354XXXX,1,5,,2,2,2,0.490177886
207946XXXX,1,5,,1,1,3,1.237034968
207846XXXX,2,5,,1,1,3,1.444664692
207853XXXX,2,5,,1,2,2,0.410398699
207761XXXX,2,5,,1,2,1,1.402832202
207437XXXX,1,5,,1,1,3,1.926475791
207799XXXX,2,5,,1,2,2,0.514381922
207234XXXX,2,5,,1,2,3,1.402832202
207943XXXX,1,5,,1,2,3,4.625775363
207933XXXX,2,5,,1,2,3,4.625775363
207582XXXX,1,5,,1,2,3,1.504537537
207687XXXX,1,5,,1,2,3,0.448147756
207933XXXX,1,5,,1,2,3,0.448147756
207282XXXX,1,5,,1,2,1,0.448147756
207866XXXX,1,5,,1,2,4,0.514381922
207454XXXX,2,5,,2,2,3,0.388206469
207354XXXX,1,5,,2,2,2,1.464003629
207439XXXX,2,5,,2,2,1,0.388206469
207766XXXX,2,5,,2,2,3,0.388206469
207622XXXX,2,5,,2,2,1,0.819023009
207389XXXX,2,5,,2,2,3,0.388206469
207303XXXX,2,5,,2,2,,0.388206469
207644XXXX,2,5,,2,2,3,0.388206469
207361XXXX,2,5,,2,2,4,0.314754635
207537XXXX,2,5,,2,2,3,0.314754635
207696XXXX,2,5,,2,2,,1.365038349
207783XXXX,2,5,,2,2,1,0.388206469
207883XXXX,2,5,,2,2,2,0.524591059
207594XXXX,1,5,,2,2,4,0.524591059
207883XXXX,2,5,,2,2,2,2.078912965
207893XXXX,1,5,,2,2,2,0.524591059
207629XXXX,2,5,,2,2,4,0.388206469
207626XXXX,2,5,,2,2,,0.388206469
207439XXXX,2,5,,2,2,3,0.388206469
207865XXXX,2,5,,2,2,2,0.388206469
207510XXXX,2,5,,2,2,2,0.232923882
207621XXXX,2,5,,2,2,2,0.388206469
207899XXXX,2,5,,1,2,2,0.479610184
207799XXXX,2,5,,1,1,2,0.442303146
207622XXXX,2,5,,1,2,3,1.044443936
207942XXXX,2,5,,1,2,1,1.402832202
207582XXXX,2,5,,1,2,2,0.514381922
207633XXXX,2,5,,1,2,3,0.448147756
207594XXXX,2,5,,1,2,2,0.479610184
207997XXXX,2,5,,1,2,3,4.625775363
207549XXXX,2,5,,1,2,3,0.514381922
207989XXXX,2,5,,1,2,2,0.479610184
207839XXXX,2,5,,1,1,2,0.975544247
207594XXXX,2,5,,1,2,2,1.31080641
207395XXXX,2,5,,1,2,2,0.479610184
207847XXXX,2,5,,1,2,2,0.479610184
207283XXXX,1,5,,1,2,,0.479610184
207568XXXX,2,5,,1,2,3,1.299533302
207622XXXX,2,5,,1,2,2,0.479610184
207882XXXX,1,5,,1,2,3,0.440152605
207597XXXX,1,5,,1,1,3,0.442303146
207494XXXX,1,5,,1,2,1,0.28776611
207833XXXX,1,5,,2,2,3,0.490177886
207824XXXX,1,5,,2,1,3,1.184722409
207726XXXX,1,5,,1,1,3,2.407774486
207795XXXX,1,5,,2,2,2,0.232923882
207563XXXX,2,5,,2,2,3,1.365038349
207677XXXX,1,5,,2,2,3,0.83427406
207827XXXX,2,5,,2,2,3,1.365038349
207367XXXX,2,5,,2,2,3,0.819023009
207448XXXX,2,5,,2,2,3,0.562623911
207899XXXX,2,5,,1,2,2,0.479610184
207764XXXX,2,5,,1,2,1,0.479610184
207853XXXX,2,5,,2,2,2,0.524591059
207871XXXX,2,5,,2,2,1,0.89284467
207225XXXX,1,5,,2,2,3,0.490177886
207623XXXX,2,5,,2,2,3,0.416351438
207934XXXX,1,5,,2,2,,0.490177886
207490XXXX,2,5,,2,2,2,0.388206469
207363XXXX,2,5,,2,2,2,0.388206469
207743XXXX,2,5,,2,2,3,0.524591059
207363XXXX,2,5,,2,2,3,0.524591059
207406XXXX,1,5,,1,2,3,0.383476545
207225XXXX,2,5,,1,2,2,0.514381922
207885XXXX,2,5,,2,2,2,0.89284467
207623XXXX,1,5,,2,2,2,0.83427406
207473XXXX,1,5,,1,2,3,0.383476545
207338XXXX,1,5,,1,2,3,0.440152605
207956XXXX,2,5,,2,2,1,0.388206469
207268XXXX,1,5,,2,2,,0.490177886
207799XXXX,2,5,,2,2,2,1.365038349
207529XXXX,1,5,,2,2,3,1.275491833
207783XXXX,1,5,,2,2,1,1.275491833
207943XXXX,1,5,,2,2,3,1.275491833
207582XXXX,1,5,,2,2,2,0.83427406
207698XXXX,4,5,,2,2,3,0.490177886
207296XXXX,1,5,,2,2,3,0.760660651
207703XXXX,1,5,,2,2,4,0.314754635
207938XXXX,1,5,,2,2,3,0.83427406
207825XXXX,2,5,,2,2,3,0.388206469
207929XXXX,1,5,,1,2,3,0.383476545
207967XXXX,1,5,,1,1,1,1.046271204
207643XXXX,1,5,,1,2,3,0.383476545
207667XXXX,1,5,,1,2,,1.120166121
207738XXXX,1,5,,1,2,,0.479610184
207934XXXX,2,5,,2,2,2,1.365038349
207407XXXX,1,5,,2,2,3,0.362740125
207582XXXX,1,5,,2,2,2,0.562623911
207998XXXX,1,5,,2,2,,0.362740125
207778XXXX,1,5,,2,1,3,1.184722409
207395XXXX,1,5,,2,2,3,0.562623911
207223XXXX,1,5,,1,2,3,0.975928414
207991XXXX,1,5,,1,1,,0.688813433
207539XXXX,1,5,,2,2,3,0.490177886
207866XXXX,1,5,,2,2,2,0.490177886
207872XXXX,1,5,,2,2,,0.760660651
207781XXXX,1,5,,1,1,2,0.790616874
207876XXXX,1,5,,1,2,3,0.448147756
207945XXXX,1,5,,1,2,1,0.24623922
207877XXXX,1,5,,2,2,1,0.562623911
207477XXXX,1,5,,1,1,3,0.790616874
207647XXXX,1,5,,2,2,3,0.760660651
207724XXXX,1,5,,2,1,1,1.216138283
207324XXXX,2,5,,2,2,3,0.388206469
207848XXXX,1,5,,2,2,3,1.275491833
207474XXXX,1,5,,1,2,3,0.975928414
207490XXXX,1,5,,1,2,1,0.479610184
207529XXXX,1,5,,1,2,3,0.514381922
207882XXXX,1,5,,1,2,,1.31080641
207524XXXX,1,5,,1,2,3,0.383476545
207865XXXX,1,5,,2,2,3,1.464003629
207784XXXX,2,5,,2,2,1,0.524591059
207793XXXX,1,5,,2,2,2,1.275491833
207872XXXX,2,5,,2,2,3,1.365038349
207782XXXX,2,5,,2,2,1,0.388206469
207846XXXX,2,5,,2,2,2,0.388206469
207924XXXX,1,5,,1,2,3,0.514381922
207278XXXX,1,5,,1,2,,0.448147756
207563XXXX,1,5,,2,1,3,1.164721108
207594XXXX,5,,,1,1,3,0.73717191
207796XXXX,5,,,1,2,3,1.504537537
207948XXXX,5,,,2,2,3,0.524591059
207872XXXX,5,,,2,2,2,0.873082779
207443XXXX,5,,,2,2,,0.362740125
207946XXXX,5,,,1,2,3,1.402832202
207324XXXX,5,,,1,2,,0.448147756
207985XXXX,5,,,1,2,3,0.383476545
207948XXXX,1,3,4,1,2,,1.31080641
207568XXXX,1,3,4,2,2,3,0.957575909
207873XXXX,1,4,5,2,2,1,0.89284467
207549XXXX,2,4,1,2,2,,0.524591059
207873XXXX,2,5,,2,2,3,0.524591059
207223XXXX,1,5,,2,2,1,0.83427406
207676XXXX,1,5,,2,2,3,1.275491833
207338XXXX,1,5,,2,2,3,0.490177886
207353XXXX,1,5,,1,1,3,1.926475791
207668XXXX,1,5,,2,2,1,1.365038349
207268XXXX,1,5,,2,2,3,1.942536275
207296XXXX,1,5,,2,1,3,1.164721108
207296XXXX,1,5,,2,2,3,0.490177886
207284XXXX,1,5,,1,2,1,1.402832202
207443XXXX,1,5,,1,2,3,0.448147756
207469XXXX,1,5,,1,2,3,1.31080641
207639XXXX,1,5,,1,2,3,0.383476545
207769XXXX,1,5,,1,2,3,1.31080641
207824XXXX,2,5,,2,2,3,0.562623911
207922XXXX,1,5,,1,2,1,1.120166121
207369XXXX,2,5,,2,2,3,0.314754635
207827XXXX,1,5,,2,1,3,1.184722409
207455XXXX,1,5,,2,2,,1.365038349
207532XXXX,1,5,,2,2,3,0.362740125
207989XXXX,1,5,,1,2,,1.31080641
207667XXXX,1,5,,2,2,1,0.83427406
207654XXXX,1,5,,1,1,3,1.14408453
207862XXXX,1,5,,1,2,1,1.402832202
207767XXXX,1,5,,2,2,2,0.83427406
207873XXXX,1,5,,2,2,3,0.362740125
207827XXXX,1,5,,1,2,2,0.975928414
207584XXXX,1,5,,2,1,3,1.184722409
207848XXXX,1,5,,2,1,3,1.359818904
207564XXXX,1,5,,2,2,3,0.488437918
207564XXXX,1,5,,2,2,3,0.760660651
207362XXXX,1,5,,2,2,3,0.362740125
207724XXXX,1,5,,2,2,3,0.83427406
207990XXXX,1,5,,2,1,3,1.097565487
207429XXXX,1,5,,1,2,3,1.132199457
207672XXXX,1,5,,1,2,3,1.402832202
207646XXXX,1,5,,1,2,2,0.383476545
207278XXXX,1,5,,1,2,3,0.448147756
207645XXXX,1,5,,1,2,3,1.31080641
207832XXXX,1,5,,1,2,2,0.448147756
207884XXXX,1,5,,1,2,3,1.132199457
207528XXXX,1,5,,2,2,3,0.814063197
207284XXXX,1,5,,2,2,2,0.957575909
207230XXXX,1,5,,1,2,1,0.448147756
207236XXXX,1,5,,1,1,,1.224405533
207634XXXX,1,5,,1,2,,0.383476545
207929XXXX,1,5,,1,2,3,0.383476545
207353XXXX,1,5,,2,2,3,0.873082779
207872XXXX,4,3,1,1,2,4,2.775465218
207646XXXX,1,4,5,2,2,3,0.819023009
207782XXXX,2,3,4,2,2,2,0.535706802
207303XXXX,2,4,3,2,1,2,0.760737848
207787XXXX,2,4,1,1,2,3,0.410398699
207899XXXX,2,4,3,2,2,2,0.814063197
207782XXXX,2,5,,2,2,2,0.89284467
207474XXXX,1,5,,1,2,3,0.448147756
207648XXXX,1,4,2,1,2,2,0.383476545
207868XXXX,1,4,2,2,2,3,0.873082779
207862XXXX,5,,,2,2,2,0.416351438
207726XXXX,5,,,1,2,1,1.120166121
207659XXXX,5,,,1,2,2,0.727011638
131000XXXX,1,4,3,1,2,3,0.440152605
141000XXXX,1,2,4,1,1,3,0.911548544
151000XXXX,2,5,,2,2,2,0.760660651
161000XXXX,2,3,4,1,2,3,0.383476545
171000XXXX,2,4,3,2,2,1,1.247347779
181000XXXX,1,2,5,2,1,3,1.336861503
191000XXXX,1,5,,1,2,3,1.120166121
201000XXXX,2,5,,2,2,3,0.957575909
211000XXXX,2,3,4,1,1,2,0.73717191
221000XXXX,1,3,4,2,1,3,0.747894547
251000XXXX,1,2,4,1,1,1,1.444664692
261000XXXX,1,5,,2,2,3,0.416351438
291000XXXX,2,5,,2,2,3,1.464003629
281000XXXX,5,,,2,1,2,0.937109936
311000XXXX,2,5,,2,2,3,0.535706802
321000XXXX,2,4,3,2,2,3,0.89284467
331000XXXX,2,1,4,2,2,3,0.524591059
341000XXXX,1,3,4,1,2,3,0.626666362
351000XXXX,1,5,,2,2,3,0.388206469
381000XXXX,2,4,1,2,2,3,0.488437918
391000XXXX,2,4,3,2,2,3,0.89284467
421000XXXX,1,4,3,1,1,3,1.237034968
401000XXXX,2,4,3,2,2,3,1.464003629
411000XXXX,2,1,4,2,2,2,0.814063197
431000XXXX,2,3,4,1,1,1,0.975544247
441000XXXX,1,5,,1,2,3,0.383476545
451000XXXX,1,3,4,1,1,3,2.582338137
461000XXXX,1,2,3,1,1,1,0.911548544
471000XXXX,2,5,,2,2,3,0.957575909
481000XXXX,2,4,3,2,2,3,0.89284467
491000XXXX,2,5,,1,1,3,0.442303146
511000XXXX,1,3,4,2,1,3,0.780910713
501000XXXX,1,5,,2,2,1,1.247347779
521000XXXX,1,5,,2,1,1,0.854417484
531000XXXX,2,4,3,2,1,1,0.747894547
551000XXXX,1,4,3,2,2,3,0.760660651
561000XXXX,2,5,,2,2,3,0.232923882
571000XXXX,1,5,,1,2,1,1.299533302
581000XXXX,2,3,4,2,2,2,0.416351438
591000XXXX,2,5,,2,1,1,0.658539292
601000XXXX,1,5,,1,1,2,0.688813433
611000XXXX,2,3,4,2,1,2,1.359818904
621000XXXX,1,3,5,1,1,2,1.046271204
631000XXXX,2,5,,2,2,3,1.464003629
661000XXXX,2,1,4,1,1,1,0.975544247
681000XXXX,2,5,,2,1,1,1.097565487
691000XXXX,1,5,,1,1,3,2.582338137
701000XXXX,1,5,,2,2,3,0.490177886
731000XXXX,1,2,5,2,1,1,1.097565487
741000XXXX,2,4,5,1,1,1,2.407774486
