ballotID,1,2,3,Gender,Age ,Education,weight
207288XXXX,7,,,2,43,3,1.093980457
207338XXXX,7,,,2,80,3,0.894520907
207353XXXX,7,,,2,80,2,0.894520907
207426XXXX,7,,,2,64,3,0.900005082
207427XXXX,7,,,2,92,2,0.894520907
207469XXXX,7,,,2,67,3,0.808040376
207684XXXX,7,,,2,82,1,0.894520907
207695XXXX,7,,,2,70,3,0.808040376
207825XXXX,7,,,2,77,3,0.894520907
207827XXXX,7,,,2,72,1,0.808040376
207843XXXX,7,,,2,88,3,0.894520907
207864XXXX,7,,,2,59,3,0.900005082
207925XXXX,7,,,2,88,1,0.894520907
207942XXXX,7,,,2,65,1,0.808040376
207942XXXX,7,,,2,67,3,0.808040376
207942XXXX,7,,,2,75,1,0.894520907
207942XXXX,7,,,2,62,2,0.900005082
207848XXXX,1,2,,1,71,3,0.948418547
207455XXXX,1,7,,1,74,1,0.948418547
207834XXXX,1,7,,1,83,3,0.582630106
207935XXXX,1,7,,1,83,1,0.582630106
207667XXXX,2,4,,1,90,1,0.582630106
207453XXXX,2,6,,1,90,1,0.582630106
207628XXXX,2,7,,1,75,3,0.582630106
207668XXXX,2,7,,1,25,3,1.703992006
207942XXXX,2,7,,1,68,2,0.948418547
207375XXXX,3,1,,1,56,1,1.319873973
207244XXXX,3,1,,1,22,2,0.552858347
207945XXXX,3,,,1,45,3,1.336749921
207224XXXX,3,7,,1,54,2,1.336749921
207235XXXX,3,7,,1,90,3,0.582630106
207338XXXX,3,7,,1,19,3,0.552858347
207769XXXX,3,7,,1,75,1,0.582630106
207784XXXX,3,7,,1,91,3,0.582630106
207827XXXX,3,7,,1,73,1,0.948418547
207897XXXX,3,7,,1,68,3,0.948418547
207924XXXX,3,7,,1,66,1,0.948418547
207989XXXX,3,7,,1,87,2,0.582630106
207278XXXX,4,1,,1,85,3,0.582630106
207947XXXX,4,2,,1,65,3,0.948418547
207743XXXX,5,6,,1,61,1,1.319873973
207585XXXX,5,7,,1,81,2,0.582630106
207225XXXX,7,,,1,35,3,1.352768032
207255XXXX,7,,,1,83,3,0.582630106
207293XXXX,7,,,1,70,3,0.948418547
207326XXXX,7,,,1,79,3,0.582630106
207326XXXX,7,,,1,83,2,0.582630106
207336XXXX,7,,,1,78,1,0.582630106
207353XXXX,7,,,1,85,2,0.582630106
207407XXXX,7,,,1,74,3,0.948418547
207454XXXX,7,,,1,75,2,0.582630106
207454XXXX,7,,,1,60,1,1.319873973
207474XXXX,7,,,1,63,2,1.319873973
207532XXXX,7,,,1,94,3,0.582630106
207562XXXX,7,,,1,66,3,0.948418547
207585XXXX,7,,,1,71,3,0.948418547
207732XXXX,7,,,1,80,2,0.582630106
207778XXXX,7,,,1,77,3,0.582630106
207778XXXX,7,,,1,78,3,0.582630106
207778XXXX,7,,,1,72,3,0.948418547
207782XXXX,7,,,1,80,3,0.582630106
207783XXXX,7,,,1,29,3,1.703992006
207843XXXX,7,,,1,66,2,0.948418547
207884XXXX,7,,,1,77,2,0.582630106
207924XXXX,7,,,1,65,2,0.948418547
207942XXXX,7,,,1,83,3,0.582630106
207947XXXX,7,,,1,84,1,0.582630106
207993XXXX,7,,,1,78,1,0.582630106
207896XXXX,2,3,,1,86,3,0.582630106
421000XXXX,3,2,1,2,58,2,0.900005082
104100XXXX,6,3,1,2,50,2,1.134656882
105100XXXX,3,2,1,2,44,3,1.093980457
110100XXXX,2,4,1,2,67,2,0.808040376
105200XXXX,2,4,1,2,21,3,0.625837025
207272XXXX,3,4,1,2,37,2,1.093980457
207215XXXX,4,3,1,1,60,2,1.319873973
207713XXXX,5,3,1,1,80,3,0.582630106
207576XXXX,3,2,1,1,57,2,1.319873973
207768XXXX,3,2,1,2,59,3,0.900005082
207762XXXX,3,4,1,2,91,3,0.894520907
207491XXXX,2,4,1,1,57,3,1.319873973
207491XXXX,5,3,1,1,75,1,0.582630106
207266XXXX,4,5,1,1,48,3,1.336749921
207578XXXX,4,3,1,2,39,3,1.093980457
207590XXXX,3,4,1,2,55,3,0.900005082
207272XXXX,2,3,1,2,60,3,0.900005082
207852XXXX,5,6,1,2,68,2,0.808040376
207659XXXX,6,5,1,2,43,2,1.093980457
207561XXXX,3,2,1,1,79,1,0.582630106
207794XXXX,2,3,1,1,50,3,1.336749921
207561XXXX,2,5,1,1,44,2,1.352768032
207944XXXX,5,3,1,1,43,2,1.352768032
207944XXXX,3,4,1,1,82,3,0.582630106
207779XXXX,2,5,1,1,75,2,0.582630106
207280XXXX,6,5,1,1,62,2,1.319873973
207431XXXX,2,6,1,2,51,2,1.134656882
207314XXXX,5,3,1,2,86,1,0.894520907
207431XXXX,5,3,1,1,36,3,1.352768032
207205XXXX,3,4,1,1,71,2,0.948418547
207527XXXX,2,4,1,2,75,3,0.894520907
207643XXXX,2,4,1,2,68,2,0.808040376
207825XXXX,3,2,1,2,77,3,0.894520907
207683XXXX,3,4,1,2,44,3,1.093980457
207764XXXX,3,4,1,2,68,3,0.808040376
207584XXXX,3,4,1,2,45,3,1.134656882
207997XXXX,3,4,1,2,74,3,0.808040376
207375XXXX,3,5,1,2,55,3,0.900005082
207938XXXX,3,5,1,2,75,2,0.894520907
207368XXXX,6,2,1,2,67,2,0.808040376
207628XXXX,6,5,1,2,73,2,0.808040376
207794XXXX,2,3,1,1,50,3,1.336749921
207672XXXX,2,3,1,1,68,3,0.948418547
207454XXXX,2,3,1,1,73,1,0.948418547
207268XXXX,2,4,1,1,69,2,0.948418547
207942XXXX,2,4,1,1,55,3,1.319873973
207434XXXX,2,4,1,1,78,1,0.582630106
207667XXXX,2,4,1,1,73,3,0.948418547
207739XXXX,3,2,1,1,77,3,0.582630106
207342XXXX,3,4,1,1,75,3,0.582630106
207469XXXX,3,4,1,1,72,3,0.948418547
207567XXXX,3,4,1,1,69,3,0.948418547
207760XXXX,3,5,1,1,81,2,0.582630106
207963XXXX,3,6,1,1,79,2,0.582630106
207667XXXX,3,6,1,1,80,2,0.582630106
207935XXXX,4,2,1,1,80,2,0.582630106
207672XXXX,4,3,1,1,71,3,0.948418547
207525XXXX,5,6,1,1,46,2,1.336749921
207924XXXX,5,6,1,1,82,1,0.582630106
207524XXXX,5,6,1,1,37,1,1.352768032
207353XXXX,6,5,1,1,44,3,1.352768032
207227XXXX,3,1,2,2,34,1,1.041742569
207227XXXX,1,5,2,1,35,3,1.352768032
207491XXXX,3,1,2,2,46,3,1.134656882
207460XXXX,4,1,2,2,67,3,0.808040376
207794XXXX,3,6,2,2,72,1,0.808040376
207290XXXX,5,3,2,2,65,3,0.808040376
207290XXXX,4,3,2,2,57,3,0.900005082
207251XXXX,3,1,2,1,59,2,1.319873973
207557XXXX,5,6,2,1,72,3,0.948418547
207478XXXX,6,1,2,1,66,3,0.948418547
207255XXXX,1,4,2,2,82,3,0.894520907
207493XXXX,1,3,2,2,75,2,0.894520907
207338XXXX,1,4,2,2,65,2,0.808040376
207454XXXX,1,4,2,2,74,1,0.808040376
207225XXXX,1,4,2,2,70,2,0.808040376
207375XXXX,1,4,2,2,58,3,0.900005082
207379XXXX,3,4,2,2,60,3,0.900005082
207429XXXX,3,4,2,2,71,2,0.808040376
207948XXXX,3,6,2,2,44,3,1.093980457
207783XXXX,4,1,2,2,78,1,0.894520907
207394XXXX,4,1,2,2,59,3,0.900005082
207947XXXX,4,1,2,2,68,3,0.808040376
207546XXXX,5,1,2,2,75,2,0.894520907
207643XXXX,5,3,2,2,79,1,0.894520907
207587XXXX,1,3,2,1,70,3,0.948418547
207532XXXX,1,6,2,1,45,1,1.336749921
