ballotID,rank1,rank2,rank3,rank4,Gender,Age,Urbanicity,weight
207225XXXX,5,6,,,2,2,3,0.490177886
207743XXXX,1,6,,,2,2,3,0.524591059
207406XXXX,5,6,,,1,2,3,0.383476545
207225XXXX,1,6,,,1,2,2,0.514381922
207473XXXX,5,6,,,1,2,3,0.383476545
207338XXXX,5,6,,,1,2,3,0.440152605
207268XXXX,1,6,,,2,2,,0.490177886
207783XXXX,5,6,,,2,2,1,1.275491833
207943XXXX,5,6,,,2,2,3,1.275491833
207582XXXX,5,6,,,2,2,2,0.83427406
207296XXXX,5,6,,,2,2,3,0.760660651
207938XXXX,5,6,,,2,2,3,0.83427406
207825XXXX,1,6,,,2,2,3,0.388206469
207643XXXX,5,6,,,1,2,3,0.383476545
207667XXXX,5,6,,,1,2,,1.120166121
207738XXXX,5,6,,,1,2,,0.479610184
207407XXXX,5,6,,,2,2,3,0.362740125
207582XXXX,1,6,,,2,2,2,0.562623911
207998XXXX,5,6,,,2,2,,0.362740125
207778XXXX,5,6,,,2,1,3,1.184722409
207223XXXX,5,6,,,1,2,3,0.975928414
207991XXXX,5,6,,,1,1,,0.688813433
207539XXXX,5,6,,,2,2,3,0.490177886
207866XXXX,5,6,,,2,2,2,0.490177886
207876XXXX,5,6,,,1,2,3,0.448147756
207945XXXX,5,6,,,1,2,1,0.24623922
207477XXXX,5,6,,,1,1,3,0.790616874
207724XXXX,5,6,,,2,1,1,1.216138283
207848XXXX,5,6,,,2,2,3,1.275491833
207474XXXX,5,6,,,1,2,3,0.975928414
207524XXXX,5,6,,,1,2,3,0.383476545
207784XXXX,1,6,,,2,2,1,0.524591059
207782XXXX,1,6,,,2,2,1,0.388206469
207924XXXX,5,6,,,1,2,3,0.514381922
207278XXXX,5,6,,,1,2,,0.448147756
207796XXXX,5,6,,,1,2,3,1.504537537
207948XXXX,1,6,,,2,2,3,0.524591059
207946XXXX,5,6,,,1,2,3,1.402832202
207948XXXX,5,6,,,1,2,,1.31080641
207568XXXX,5,6,,,2,2,3,0.957575909
207223XXXX,5,6,,,2,2,1,0.83427406
207338XXXX,5,6,,,2,2,3,0.490177886
207668XXXX,5,6,,,2,2,1,1.365038349
207268XXXX,5,6,,,2,2,3,1.942536275
207296XXXX,5,6,,,2,1,3,1.164721108
207296XXXX,5,6,,,2,2,3,0.490177886
207469XXXX,5,6,,,1,2,3,1.31080641
207639XXXX,5,6,,,1,2,3,0.383476545
207769XXXX,5,6,,,1,2,3,1.31080641
207824XXXX,1,6,,,2,2,3,0.562623911
207922XXXX,5,6,,,1,2,1,1.120166121
207369XXXX,1,6,,,2,2,3,0.314754635
207827XXXX,5,6,,,2,1,3,1.184722409
207455XXXX,5,6,,,2,2,,1.365038349
207532XXXX,5,6,,,2,2,3,0.362740125
207989XXXX,5,6,,,1,2,,1.31080641
207667XXXX,5,6,,,2,2,1,0.83427406
207654XXXX,5,6,,,1,1,3,1.14408453
207862XXXX,5,6,,,1,2,1,1.402832202
207827XXXX,5,6,,,1,2,2,0.975928414
207584XXXX,5,6,,,2,1,3,1.184722409
207848XXXX,5,6,,,2,1,3,1.359818904
207564XXXX,5,6,,,2,2,3,0.488437918
207564XXXX,5,6,,,2,2,3,0.760660651
207362XXXX,5,6,,,2,2,3,0.362740125
207724XXXX,5,6,,,2,2,3,0.83427406
207990XXXX,5,6,,,2,1,3,1.097565487
207429XXXX,5,6,,,1,2,3,1.132199457
207672XXXX,5,6,,,1,2,3,1.402832202
207278XXXX,5,6,,,1,2,3,0.448147756
207645XXXX,5,6,,,1,2,3,1.31080641
207884XXXX,5,6,,,1,2,3,1.132199457
207528XXXX,5,6,,,2,2,3,0.814063197
207634XXXX,5,6,,,1,2,,0.383476545
207353XXXX,5,6,,,2,2,3,0.873082779
207782XXXX,1,3,2,6,2,2,2,0.535706802
207787XXXX,1,3,4,6,1,2,3,0.410398699
207782XXXX,1,3,4,6,2,2,2,0.89284467
207474XXXX,5,3,2,6,1,2,3,0.448147756
207868XXXX,6,,,,2,2,3,0.873082779
207862XXXX,6,,,,2,2,2,0.416351438
207726XXXX,6,,,,1,2,1,1.120166121
207659XXXX,6,,,,1,2,2,0.727011638
141000XXXX,5,1,4,3,1,1,3,0.911548544
191000XXXX,5,6,,,1,2,3,1.120166121
201000XXXX,1,6,,,2,2,3,0.957575909
211000XXXX,1,3,4,2,1,1,2,0.73717191
251000XXXX,4,5,6,,1,1,1,1.444664692
261000XXXX,5,6,,,2,2,3,0.416351438
291000XXXX,1,6,,,2,2,3,1.464003629
311000XXXX,1,6,,,2,2,3,0.535706802
331000XXXX,1,4,3,2,2,2,3,0.524591059
341000XXXX,5,2,6,,1,2,3,0.626666362
391000XXXX,1,3,2,4,2,2,3,0.89284467
401000XXXX,1,3,2,4,2,2,3,1.464003629
441000XXXX,5,6,,,1,2,3,0.383476545
451000XXXX,1,4,2,3,1,1,3,2.582338137
511000XXXX,5,2,4,6,2,1,3,0.780910713
501000XXXX,5,6,,,2,2,1,1.247347779
521000XXXX,5,6,,,2,1,1,0.854417484
551000XXXX,5,6,,,2,2,3,0.760660651
561000XXXX,1,6,,,2,2,3,0.232923882
571000XXXX,5,6,,,1,2,1,1.299533302
581000XXXX,1,4,3,6,2,2,2,0.416351438
601000XXXX,5,6,,,1,1,2,0.688813433
631000XXXX,1,6,,,2,2,3,1.464003629
681000XXXX,1,6,,,2,1,1,1.097565487
691000XXXX,5,4,6,,1,1,3,2.582338137
701000XXXX,5,6,,,2,2,3,0.490177886
731000XXXX,1,5,6,,2,1,1,1.097565487
761000XXXX,5,4,6,,1,1,3,0.585326548
751000XXXX,4,5,2,3,2,1,3,0.854417484
771000XXXX,1,3,2,4,2,2,3,0.814063197
791000XXXX,5,6,,,1,1,2,0.73464332
831000XXXX,5,6,,,2,1,2,1.164721108
861000XXXX,1,6,,,2,2,3,0.562623911
911000XXXX,5,6,,,2,2,3,0.490177886
921000XXXX,5,6,,,2,2,3,0.83427406
931000XXXX,1,6,,,2,2,2,0.89284467
961000XXXX,4,3,5,6,2,1,2,0.780910713
991000XXXX,1,6,,,2,1,3,0.780910713
101100XXXX,1,6,,,2,2,3,2.229634155
107100XXXX,2,5,1,4,1,1,1,1.14408453
109100XXXX,1,6,,,1,1,1,1.237034968
