ballotID,1,2,Gender,Age,Education,weight
207483XXXX,c2,c4,1,2,2,1.319873973
207848XXXX,c3,c2,1,2,3,0.582630106
207862XXXX,c3,c2,1,2,3,0.582630106
207635XXXX,c3,c1,1,2,1,0.948418547
207732XXXX,c3,c2,1,2,2,1.336749921
123100XXXX,c1,c3,2,1,2,1.041742569
153200XXXX,c2,c3,2,1,3,1.093980457
207689XXXX,c1,c3,2,2,3,0.808040376
207713XXXX,c3,c4,2,2,2,0.900005082
207577XXXX,c3,c2,1,1,3,1.352768032
207229XXXX,c4,,1,2,3,1.336749921
207551XXXX,c2,c3,1,2,2,0.948418547
207860XXXX,c1,c2,1,2,2,1.319873973
207266XXXX,c4,,1,2,1,0.948418547
207266XXXX,c4,,2,2,3,1.134656882
207266XXXX,c3,c4,1,2,1,0.582630106
207357XXXX,c4,,2,2,2,0.900005082
207212XXXX,c3,c2,1,2,2,1.319873973
207356XXXX,c1,c4,2,2,3,0.900005082
207944XXXX,c1,c3,2,1,3,1.134656882
207403XXXX,c1,c3,2,2,1,0.808040376
207852XXXX,c3,c1,2,2,1,0.900005082
207270XXXX,c3,c4,2,2,3,0.900005082
207341XXXX,c4,,2,2,1,0.900005082
207944XXXX,c4,,2,2,1,0.894520907
207852XXXX,c1,c3,1,2,2,1.336749921
207951XXXX,c3,c1,1,2,3,1.319873973
207280XXXX,c3,c1,1,2,2,0.582630106
207343XXXX,c3,c1,1,2,2,0.948418547
207431XXXX,c4,,2,2,3,0.900005082
207313XXXX,c4,,2,1,2,1.134656882
207841XXXX,c1,c4,2,2,3,1.134656882
207214XXXX,c2,c3,1,2,2,0.948418547
207763XXXX,c4,,2,1,3,1.041742569
207582XXXX,c3,c4,2,2,2,0.894520907
207685XXXX,c3,c1,2,2,3,0.900005082
207764XXXX,c2,c4,2,2,1,0.894520907
207897XXXX,c2,c4,2,2,2,0.808040376
207924XXXX,c1,c3,2,2,2,0.808040376
207392XXXX,c4,,2,2,2,0.900005082
207528XXXX,c2,c1,2,2,3,0.808040376
207695XXXX,c3,c1,2,2,2,0.808040376
207723XXXX,c3,c2,1,2,2,1.319873973
207469XXXX,c2,c1,1,2,3,0.948418547
207733XXXX,c3,c1,1,2,3,0.582630106
207234XXXX,c2,c4,1,2,3,0.582630106
207244XXXX,c2,c1,1,2,3,0.582630106
207652XXXX,c2,c3,1,2,1,1.319873973
207826XXXX,c1,c3,1,2,2,0.948418547
207866XXXX,c2,c3,1,2,2,0.582630106
207948XXXX,c2,c3,1,2,3,1.319873973
207843XXXX,c4,,1,2,2,1.319873973
207453XXXX,c3,c1,1,2,1,0.582630106
207276XXXX,c2,c1,1,2,3,1.319873973
207539XXXX,c3,c1,1,2,3,0.582630106
207848XXXX,c1,c4,1,2,2,1.319873973
207989XXXX,c3,c4,1,2,2,0.948418547
207728XXXX,c1,c4,1,1,3,1.336749921
