ballotID,1,2,Age,Gender,Education,weight
207478XXXX,c3,c1,2,1,2,95.1762687606635
207667XXXX,c3,,2,2,1,81.08895406876053
207483XXXX,c2,c3,2,2,1,91.77579546313018
207539XXXX,c3,,2,2,1,89.76750035727052
207562XXXX,c2,c4,2,1,3,135.41604543308569
207288XXXX,c3,c1,2,1,2,95.1762687606635
207532XXXX,c4,,2,1,3,0.582630106
207876XXXX,c2,c3,1,1,3,138.79090051708891
207318XXXX,c1,c3,1,2,3,124.22858242183463
207478XXXX,c4,,1,1,3,1.336749921
207327XXXX,c3,,2,2,2,81.08895406876053
207521XXXX,c3,c1,2,2,3,90.31785158709576
207668XXXX,c1,c3,2,2,3,97.93715261959144
207778XXXX,c2,,2,1,3,59.77651390871053
207474XXXX,c1,c3,2,1,1,103.83816773640838
207726XXXX,c2,,2,1,2,97.30556983271394
631000XXXX,c2,c4,2,2,3,92.33845925236682
161100XXXX,c3,c1,2,2,2,90.31785158709576
169100XXXX,c3,c2,1,2,2,104.54157717622961
154200XXXX,c1,,1,1,3,186.56257651246355
207852XXXX,c4,,1,1,2,0.552858347
207323XXXX,c1,c2,1,1,1,146.35485878834112
207483XXXX,c1,,1,1,2,148.10861118183834
150100XXXX,c1,,2,1,1,144.50718560156307
207768XXXX,c3,,2,1,3,58.46844700803797
207322XXXX,c3,c2,1,1,1,134.14633249142028
207357XXXX,c4,,2,2,2,0.900005082
207357XXXX,c1,c2,1,1,2,60.53002437779138
207745XXXX,c3,,2,2,3,81.08895406876053
207942XXXX,c1,,1,2,3,124.22858242183463
207786XXXX,c3,c2,2,2,3,81.08895406876053
207723XXXX,c3,c1,2,2,3,81.08895406876053
207728XXXX,c3,,2,1,3,132.4527872022443
207667XXXX,c1,,2,1,2,63.7896030887188
207435XXXX,c2,c1,2,1,3,59.77651390871053
207943XXXX,c3,c4,2,1,2,95.1762687606635
431000XXXX,c4,,1,2,1,0.625837025
207479XXXX,c2,,1,1,1,138.79090051708891
207884XXXX,c3,c2,2,2,2,81.08895406876053
207582XXXX,c2,,2,2,3,82.90309113337113
241000XXXX,c4,,1,2,2,1.093980457
207694XXXX,c3,,2,1,2,132.4527872022443
207227XXXX,c4,,2,1,3,0.582630106
207357XXXX,c3,,2,2,3,81.08895406876053
207852XXXX,c2,c1,2,2,2,92.33845925236682
207561XXXX,c3,c4,1,2,2,104.54157717622961
207610XXXX,c4,,1,2,2,1.041742569
207234XXXX,c4,,2,2,3,0.808040376
207364XXXX,c3,,2,2,2,81.08895406876053
207546XXXX,c3,,2,2,1,90.31785158709576
207454XXXX,c4,,2,1,3,0.582630106
191000XXXX,c2,c4,2,2,1,92.33845925236682
541000XXXX,c2,,2,2,3,92.33845925236682
591000XXXX,c4,,2,1,2,0.948418547
701000XXXX,c2,,2,1,2,97.30556983271394
761000XXXX,c1,c3,2,2,2,98.53759077566413
921000XXXX,c3,,2,2,3,113.86577022767615
140100XXXX,c1,c3,2,2,2,124.22858242183463
145100XXXX,c4,,2,1,2,1.319873973
149100XXXX,c1,,2,2,2,98.53759077566413
157100XXXX,c1,c4,1,2,3,119.77509987931384
159100XXXX,c4,,1,1,1,0.552858347
172000XXXX,c3,c4,2,1,3,132.4527872022443
922000XXXX,c4,,1,2,1,1.041742569
151200XXXX,c3,c4,2,1,2,132.4527872022443
207754XXXX,c1,,2,2,3,124.22858242183463
207740XXXX,c2,,1,2,3,112.23988827607546
207632XXXX,c2,,1,2,3,112.23988827607546
207240XXXX,c3,,2,2,2,81.08895406876053
