ballotID,1,2,3,4,Gender,Age,Urbanicity,weight
207582XXXX,c5,c6,,,1,2,3,1.504537537
207687XXXX,c5,c6,,,1,2,3,0.448147756
207282XXXX,c5,c6,,,1,2,1,0.448147756
207354XXXX,c1,c6,,,2,2,2,1.464003629
207439XXXX,c1,c6,,,2,2,1,0.388206469
207766XXXX,c1,c6,,,2,2,3,0.388206469
207389XXXX,c1,c6,,,2,2,3,0.388206469
207303XXXX,c1,c6,,,2,2,,0.388206469
207644XXXX,c1,c6,,,2,2,3,0.388206469
207361XXXX,c1,c6,,,2,2,4,0.314754635
207883XXXX,c1,c6,,,2,2,2,0.524591059
207594XXXX,c1,c6,,,2,2,4,0.524591059
207883XXXX,c1,c6,,,2,2,2,2.078912965
207893XXXX,c1,c6,,,2,2,2,0.524591059
207629XXXX,c1,c6,,,2,2,4,0.388206469
207626XXXX,c1,c6,,,2,2,,0.388206469
207510XXXX,c1,c6,,,2,2,2,0.232923882
207621XXXX,c1,c6,,,2,2,2,0.388206469
207899XXXX,c1,c6,,,1,2,2,0.479610184
207799XXXX,c1,c6,,,1,1,2,0.442303146
207622XXXX,c1,c6,,,1,2,3,1.044443936
207582XXXX,c1,c6,,,1,2,2,0.514381922
207633XXXX,c1,c6,,,1,2,3,0.448147756
207594XXXX,c1,c6,,,1,2,2,0.479610184
207549XXXX,c1,c6,,,1,2,3,0.514381922
207839XXXX,c1,c6,,,1,1,2,0.975544247
207594XXXX,c1,c6,,,1,2,2,1.31080641
207395XXXX,c1,c6,,,1,2,2,0.479610184
207847XXXX,c1,c6,,,1,2,2,0.479610184
207283XXXX,c5,c6,,,1,2,,0.479610184
207622XXXX,c1,c6,,,1,2,2,0.479610184
207882XXXX,c1,c6,,,1,2,3,0.440152605
207494XXXX,c5,c6,,,1,2,1,0.28776611
207833XXXX,c1,c6,,,2,2,3,0.490177886
207563XXXX,c1,c6,,,2,2,3,1.365038349
207677XXXX,c5,c6,,,2,2,3,0.83427406
207899XXXX,c1,c6,,,1,2,2,0.479610184
207871XXXX,c1,c6,,,2,2,1,0.89284467
207623XXXX,c1,c6,,,2,2,3,0.416351438
207934XXXX,c5,c6,,,2,2,,0.490177886
207490XXXX,c1,c6,,,2,2,2,0.388206469
207363XXXX,c1,c6,,,2,2,2,0.388206469
207363XXXX,c1,c6,,,2,2,3,0.524591059
207885XXXX,c1,c6,,,2,2,2,0.89284467
207623XXXX,c5,c6,,,2,2,2,0.83427406
207956XXXX,c1,c6,,,2,2,1,0.388206469
207799XXXX,c1,c6,,,2,2,2,1.365038349
207529XXXX,c5,c6,,,2,2,3,1.275491833
207698XXXX,c5,c6,,,2,2,3,0.490177886
207703XXXX,c5,c6,,,2,2,4,0.314754635
207929XXXX,c5,c6,,,1,2,3,0.383476545
207967XXXX,c5,c6,,,1,1,1,1.046271204
207934XXXX,c1,c6,,,2,2,2,1.365038349
207395XXXX,c5,c6,,,2,2,3,0.562623911
207872XXXX,c5,c6,,,2,2,,0.760660651
207781XXXX,c5,c6,,,1,1,2,0.790616874
207877XXXX,c5,c6,,,2,2,1,0.562623911
207647XXXX,c5,c6,,,2,2,3,0.760660651
207324XXXX,c1,c6,,,2,2,3,0.388206469
207490XXXX,c5,c6,,,1,2,1,0.479610184
207529XXXX,c5,c6,,,1,2,3,0.514381922
207882XXXX,c5,c6,,,1,2,,1.31080641
207865XXXX,c5,c6,,,2,2,3,1.464003629
207793XXXX,c5,c6,,,2,2,2,1.275491833
207872XXXX,c1,c6,,,2,2,3,1.365038349
207846XXXX,c1,c6,,,2,2,2,0.388206469
207563XXXX,c5,c6,,,2,1,3,1.164721108
207594XXXX,c1,c6,,,1,1,3,0.73717191
207872XXXX,c1,c6,,,2,2,2,0.873082779
207443XXXX,c5,c6,,,2,2,,0.362740125
207324XXXX,c5,c6,,,1,2,,0.448147756
207985XXXX,c5,c6,,,1,2,3,0.383476545
207873XXXX,c1,c6,,,2,2,1,0.89284467
207549XXXX,c1,c6,,,2,2,,0.524591059
207873XXXX,c1,c6,,,2,2,3,0.524591059
207676XXXX,c5,c6,,,2,2,3,1.275491833
207353XXXX,c5,c6,,,1,1,3,1.926475791
207284XXXX,c5,c6,,,1,2,1,1.402832202
207443XXXX,c5,c6,,,1,2,3,0.448147756
207767XXXX,c5,c6,,,2,2,2,0.83427406
207873XXXX,c5,c6,,,2,2,3,0.362740125
207646XXXX,c5,c6,,,1,2,2,0.383476545
207832XXXX,c5,c6,,,1,2,2,0.448147756
207284XXXX,c5,c6,,,2,2,2,0.957575909
207230XXXX,c5,c6,,,1,2,1,0.448147756
207236XXXX,c5,c6,,,1,1,,1.224405533
207929XXXX,c5,c6,,,1,2,3,0.383476545
207872XXXX,c3,c2,c6,,1,2,4,2.775465218
207646XXXX,c5,c4,c6,,2,2,3,0.819023009
207303XXXX,c1,c2,c3,c6,2,1,2,0.760737848
207899XXXX,c1,c2,c4,c6,2,2,2,0.814063197
207648XXXX,c6,,,,1,2,2,0.383476545
131000XXXX,c5,c6,,,1,2,3,0.440152605
151000XXXX,c5,c6,,,2,2,2,0.760660651
161000XXXX,c1,c2,c5,c3,1,2,3,0.383476545
171000XXXX,c1,c2,c6,,2,2,1,1.247347779
181000XXXX,c5,c1,c6,,2,1,3,1.336861503
221000XXXX,c5,c3,c4,c2,2,1,3,0.747894547
281000XXXX,c1,c6,,,2,1,2,0.937109936
321000XXXX,c1,c6,,,2,2,3,0.89284467
351000XXXX,c5,c6,,,2,2,3,0.388206469
381000XXXX,c1,c4,c6,,2,2,3,0.488437918
421000XXXX,c5,c6,,,1,1,3,1.237034968
411000XXXX,c1,c4,c3,c2,2,2,2,0.814063197
431000XXXX,c1,c3,c4,c2,1,1,1,0.975544247
461000XXXX,c5,c1,c2,c4,1,1,1,0.911548544
471000XXXX,c1,c6,,,2,2,3,0.957575909
481000XXXX,c1,c6,,,2,2,3,0.89284467
491000XXXX,c1,c6,,,1,1,3,0.442303146
531000XXXX,c5,c2,c1,c4,2,1,1,0.747894547
591000XXXX,c1,c2,c4,c3,2,1,1,0.658539292
611000XXXX,c1,c4,c6,,2,1,2,1.359818904
621000XXXX,c1,c6,,,1,1,2,1.046271204
661000XXXX,c1,c3,c5,c2,1,1,1,0.975544247
741000XXXX,c1,c6,,,1,1,1,2.407774486
781000XXXX,c1,c6,,,2,2,2,0.957575909
801000XXXX,c1,c2,c3,c4,1,2,1,0.479610184
811000XXXX,c5,c6,,,2,2,2,1.942536275
821000XXXX,c5,c6,,,2,1,2,0.658539292
851000XXXX,c1,c6,,,1,1,1,0.585326548
901000XXXX,c5,c6,,,2,1,3,1.45939254
871000XXXX,c4,c5,c6,,2,1,3,1.330612828
881000XXXX,c1,c6,,,1,1,2,2.061724947
941000XXXX,c1,c6,,,2,2,3,0.562623911
971000XXXX,c5,c6,,,1,1,1,0.911548544
981000XXXX,c5,c4,c3,c2,1,2,3,0.727011638
100100XXXX,c1,c6,,,2,2,2,0.488437918
102100XXXX,c5,c6,,,2,2,2,0.490177886
104100XXXX,c5,c4,c2,c3,1,1,1,0.911548544
106100XXXX,c1,c6,,,2,2,3,0.416351438
111100XXXX,c2,c1,c5,c3,2,1,2,1.025565191
117100XXXX,c1,c3,c4,c2,1,1,3,1.046271204
118100XXXX,c5,c2,c4,c1,1,1,3,2.24982448
121100XXXX,c5,c1,c3,c2,1,1,2,0.911548544
124100XXXX,c1,c6,,,2,1,3,0.658539292
122100XXXX,c1,c6,,,2,2,3,1.247347779
123100XXXX,c4,c1,c5,c6,1,1,3,1.444664692
128100XXXX,c5,c6,,,1,2,2,1.132199457
131100XXXX,c1,c3,c4,c2,1,1,3,1.315190363
132100XXXX,c5,c1,c2,c3,1,1,1,0.911548544
133100XXXX,c1,c3,c2,c4,1,1,2,2.211200006
137100XXXX,c1,c3,c6,,1,1,3,0.790616874
139100XXXX,c5,c4,c6,,1,1,1,0.442303146
142100XXXX,c4,c3,c2,c6,2,1,3,0.747894547
144100XXXX,c1,c4,c3,c2,2,1,2,0.747894547
150100XXXX,c1,c6,,,2,2,1,0.535706802
152100XXXX,c5,c6,,,2,1,2,1.45939254
153100XXXX,c1,c6,,,2,1,2,1.267896414
158100XXXX,c1,c3,c6,,2,2,2,1.247347779
157100XXXX,c1,c4,c2,c3,2,1,1,1.097565487
161100XXXX,c5,c6,,,1,1,2,0.688813433
162100XXXX,c1,c4,c3,c2,2,1,3,1.267896414
164100XXXX,c5,c1,c2,c3,1,1,1,0.585326548
168100XXXX,c5,c6,,,2,2,3,0.83427406
178100XXXX,c1,c4,c3,c2,2,1,2,0.658539292
181100XXXX,c1,c3,c6,,1,1,2,0.975544247
195100XXXX,c5,c6,,,2,2,2,1.464003629
194100XXXX,c1,c6,,,2,1,1,1.216138283
196100XXXX,c5,c6,,,1,1,1,0.911548544
200100XXXX,c1,c6,,,2,2,2,0.873082779
202100XXXX,c1,c6,,,2,1,2,0.760737848
203100XXXX,c1,c6,,,1,2,3,0.440152605
205100XXXX,c1,c6,,,1,2,2,1.504537537
206100XXXX,c5,c6,,,1,2,3,0.440152605
208100XXXX,c1,c6,,,2,2,3,0.388206469
209100XXXX,c5,c6,,,1,2,3,1.299533302
210100XXXX,c4,c1,c6,,2,1,3,0.937109936
212100XXXX,c1,c3,c6,,1,1,1,0.73464332
214100XXXX,c1,c4,c3,c2,2,1,2,1.097565487
215100XXXX,c5,c4,c3,c2,1,1,1,0.789114218
216100XXXX,c1,c6,,,1,1,1,0.442303146
218100XXXX,c1,c3,c4,c6,1,2,3,4.625775363
224100XXXX,c5,c6,,,1,2,1,0.514381922
226100XXXX,c1,c6,,,2,1,1,0.658539292
230100XXXX,c1,c6,,,1,2,1,1.211686063
231100XXXX,c5,c3,c4,c2,2,1,2,1.184722409
232100XXXX,c1,c6,,,2,2,2,0.524591059
233100XXXX,c1,c3,c6,,2,1,3,0.658539292
235100XXXX,c1,c6,,,2,1,2,0.937109936
237100XXXX,c1,c5,c6,,2,1,2,0.658539292
245100XXXX,c1,c3,c2,c4,2,2,2,0.873082779
244100XXXX,c5,c6,,,1,2,2,0.383476545
247100XXXX,c5,c2,c3,c6,2,1,3,0.780910713
249100XXXX,c1,c6,,,2,1,3,0.937109936
248100XXXX,c5,c6,,,1,1,3,1.228913876
250100XXXX,c5,c6,,,2,2,3,1.942536275
259100XXXX,c1,c6,,,2,1,2,1.097565487
262100XXXX,c1,c5,c6,,1,1,3,1.444664692
263100XXXX,c1,c4,c3,c2,1,1,3,1.224405533
264100XXXX,c5,c6,,,2,2,3,0.873082779
265100XXXX,c5,c6,,,2,1,2,0.760737848
266100XXXX,c5,c6,,,2,2,2,0.535706802
267100XXXX,c1,c3,c4,c2,2,1,3,0.747894547
269100XXXX,c1,c5,c6,,2,1,2,0.854417484
272100XXXX,c1,c6,,,2,1,1,0.658539292
276100XXXX,c1,c6,,,1,1,3,0.789114218
279100XXXX,c1,c3,c4,c2,2,1,1,0.937109936
282100XXXX,c5,c6,,,1,1,2,1.14408453
284100XXXX,c1,c6,,,2,1,3,0.780910713
283100XXXX,c5,c6,,,2,1,3,1.184722409
285100XXXX,c1,c3,c4,c2,1,1,1,0.73464332
289100XXXX,c1,c6,,,1,2,3,0.440152605
292100XXXX,c5,c4,c3,c2,2,1,3,1.336861503
293100XXXX,c1,c6,,,1,1,1,1.224405533
